FPS,30,NrOfObjects,4,TotalNrOfObjects,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammer.x,Hammer.y,Hammer.z,Hammer.rx,Hammer.ry,Hammer.rz,Hammer.rw,/separated.x,/separated.y,/separated.z,/separated.rx,/separated.ry,/separated.rz,/separated.rw,//hammerhead.x,//hammerhead.y,//hammerhead.z,//hammerhead.rx,//hammerhead.ry,//hammerhead.rz,//hammerhead.rw,//Handle.x,//Handle.y,//Handle.z,//Handle.rx,//Handle.ry,//Handle.rz,//Handle.rw,/Complete.x,/Complete.y,/Complete.z,/Complete.rx,/Complete.ry,/Complete.rz,/Complete.rw,//hammerhead.x,//hammerhead.y,//hammerhead.z,//hammerhead.rx,//hammerhead.ry,//hammerhead.rz,//hammerhead.rw,/Usable.x,/Usable.y,/Usable.z,/Usable.rx,/Usable.ry,/Usable.rz,/Usable.rw,//hammerhead.x,//hammerhead.y,//hammerhead.z,//hammerhead.rx,//hammerhead.ry,//hammerhead.rz,//hammerhead.rw,//Handle.x,//Handle.y,//Handle.z,//Handle.rx,//Handle.ry,//Handle.rz,//Handle.rw,NailBlock.x,NailBlock.y,NailBlock.z,NailBlock.rx,NailBlock.ry,NailBlock.rz,NailBlock.rw,/VR Objects-Nailblock.x,/VR Objects-Nailblock.y,/VR Objects-Nailblock.z,/VR Objects-Nailblock.rx,/VR Objects-Nailblock.ry,/VR Objects-Nailblock.rz,/VR Objects-Nailblock.rw,//default.x,//default.y,//default.z,//default.rx,//default.ry,//default.rz,//default.rw,/Nails.x,/Nails.y,/Nails.z,/Nails.rx,/Nails.ry,/Nails.rz,/Nails.rw,//VR Objects-Nail fixed.x,//VR Objects-Nail fixed.y,//VR Objects-Nail fixed.z,//VR Objects-Nail fixed.rx,//VR Objects-Nail fixed.ry,//VR Objects-Nail fixed.rz,//VR Objects-Nail fixed.rw,//VR Objects-Nail (1).x,//VR Objects-Nail (1).y,//VR Objects-Nail (1).z,//VR Objects-Nail (1).rx,//VR Objects-Nail (1).ry,//VR Objects-Nail (1).rz,//VR Objects-Nail (1).rw,/Box523.x,/Box523.y,/Box523.z,/Box523.rx,/Box523.ry,/Box523.rz,/Box523.rw,//colliderFloor (1).x,//colliderFloor (1).y,//colliderFloor (1).z,//colliderFloor (1).rx,//colliderFloor (1).ry,//colliderFloor (1).rz,//colliderFloor (1).rw,//colliderFloor (2).x,//colliderFloor (2).y,//colliderFloor (2).z,//colliderFloor (2).rx,//colliderFloor (2).ry,//colliderFloor (2).rz,//colliderFloor (2).rw,//colliderFloor (3).x,//colliderFloor (3).y,//colliderFloor (3).z,//colliderFloor (3).rx,//colliderFloor (3).ry,//colliderFloor (3).rz,//colliderFloor (3).rw,//colliderFloor (4).x,//colliderFloor (4).y,//colliderFloor (4).z,//colliderFloor (4).rx,//colliderFloor (4).ry,//colliderFloor (4).rz,//colliderFloor (4).rw,//colliderFloor (5).x,//colliderFloor (5).y,//colliderFloor (5).z,//colliderFloor (5).rx,//colliderFloor (5).ry,//colliderFloor (5).rz,//colliderFloor (5).rw,Target.x,Target.y,Target.z,Target.rx,Target.ry,Target.rz,Target.rw,Crank.x,Crank.y,Crank.z,Crank.rx,Crank.ry,Crank.rz,Crank.rw,/Handle.x,/Handle.y,/Handle.z,/Handle.rx,/Handle.ry,/Handle.rz,/Handle.rw,/rotatingWheel.x,/rotatingWheel.y,/rotatingWheel.z,/rotatingWheel.rx,/rotatingWheel.ry,/rotatingWheel.rz,/rotatingWheel.rw
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3497694,1.059841,0.7739058,-0.7158903,-0.003887475,-0.6981991,0.002001971,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3513977,1.059095,0.7737557,-0.7151428,-0.004802376,-0.698954,0.003325373,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3513977,1.059095,0.7737557,-0.7151428,-0.004802376,-0.698954,0.003325373,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3518626,1.058726,0.7737503,-0.7149531,-0.005639702,-0.6991398,0.003731668,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3518626,1.058726,0.7737503,-0.7149531,-0.005639702,-0.6991398,0.003731668,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3521149,1.057994,0.7734082,-0.7149794,-0.007083118,-0.6990964,0.004296809,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3521149,1.057994,0.7734082,-0.7149794,-0.007083118,-0.6990964,0.004296809,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3516338,1.056558,0.7740051,-0.7154197,-0.004900545,-0.6986554,0.005609989,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3507108,1.060111,0.7739978,-0.7154828,-0.001294494,-0.6986274,0.001601934,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3507108,1.060111,0.7739978,-0.7154828,-0.001294494,-0.6986274,0.001601934,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3502962,1.060929,0.7739463,-0.7154274,0.00034979,-0.6986871,-2.36E-05,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3502962,1.060929,0.7739463,-0.7154274,0.00034979,-0.6986871,-2.36E-05,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3502494,1.061104,0.7739381,-0.7154405,0.000462323,-0.6986736,-0.000283897,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
0,0,0.0947,0,0,0,1,-0.1584,1.3383,0.4997,-0.7071068,0,0,0.7071068,-0.3502494,1.061104,0.7739381,-0.7154405,0.000462323,-0.6986736,-0.000283897,0.06588535,0.8946072,0.7553029,-0.5000104,0.4999899,-0.500008,0.499992,0.279,-0.504,0.7255999,-0.7071068,0,0,0.7071068,0.279,-0.8253,0.7255999,-0.7071068,0,0,0.7071068,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,-0.5683383,-0.8198649,0.819022,-0.7466402,0.000294109,-0.6652279,-0.00048014,0,0,-0.047,0,0,0,1,0.5540002,0.971108,0.9420009,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,-0.003999949,0.971108,1.014,-0.7071068,-4.42E-07,-4.49E-07,0.7071069,0.2758,-0.2271075,-0.428,0,0,0,1,0.2838,0.9578924,0.798,0,0,0,1,0.1176404,0.9703752,0.7260634,-0.07375083,-0.6149967,-0.2765745,-0.7347424,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.9826,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,0.2207962,0.982,0.894,0.7071069,0,0,0.7071067,-0.304,0.971,0.681,0,0.7071068,0,0.7071068,-0.567,1.063,0.652,0,0,0,1,-0.427,1.063,0.476,0.7071068,0,0,0.7071068,-0.567,1.063,0.5308,0.7071068,0,0,0.7071068
